index,unit2_pos,unit1_beam_32,unit1_beam_64
198,"[0.7546905366951001, 0.5573852295741452]",9,17
199,"[0.7451039019251191, 0.5588822354733162]",11,21
200,"[0.7354238301613109, 0.5598802395479218]",12,23
201,"[0.725669008815719, 0.560878243551615]",14,26
202,"[0.7158207504763, 0.5613772455180053]",15,29
203,"[0.705879055156332, 0.5618762474843957]",17,33
204,"[0.6958626102545803, 0.562375249592611]",19,37
205,"[0.6857527283590015, 0.5628742515590013]",20,39
206,"[0.675213036331652, 0.5643712575290848]",21,42
207,"[0.664878905664166, 0.5658682634991684]",22,43
208,"[0.6547503363698217, 0.5668662674319491]",23,46
209,"[0.6448273284486191, 0.568363273472945]",25,49
210,"[0.6350911945017927, 0.5698602794430285]",26,51
211,"[0.6255606219148299, 0.5713572854840245]",26,52
212,"[0.6162356107010086, 0.572854291454108]",28,54
213,"[0.6070974734615637, 0.5743512974241917]",28,55
214,"[0.5981648975952605, 0.5758483034651876]",28,55
215,"[0.5891762595326608, 0.576347305431578]",30,58
216,"[0.5808603677592263, 0.5773453093643587]",30,59
217,"[0.5728434743527606, 0.5783433133680518]",30,60
218,"[0.5651255792999856, 0.5783433133680518]",31,62
219,"[0.5577253700129451, 0.5783433133680518]",32,62
220,"[0.5506428464650824, 0.5773453093643587]",32,62
221,"[0.543878008669676, 0.5753493014987973]",32,62
222,"[0.5374121692279601, 0.5733532934204985]",32,62
223,"[0.8291037524312934, 0.572854291454108]",2,2
224,"[0.8209186724492169, 0.576347305431578]",2,2
225,"[0.8134624009526018, 0.5778443114016615]",2,2
226,"[0.8059126924754376, 0.5793413174426575]",2,3
227,"[0.7982321722201935, 0.580838323412741]",2,4
228,"[0.7904582149711222, 0.5818363273455217]",3,6
229,"[0.7825721333560146, 0.5828343313492148]",4,7
230,"[0.7745552399362707, 0.5838323352819956]",5,10
231,"[0.766444909549256, 0.5843313373902108]",6,11
232,"[0.7582224547696487, 0.5848303393566012]",7,14
233,"[0.7491964419095183, 0.585329341393904]",9,17
234,"[0.7406563013907329, 0.585329341393904]",10,19
235,"[0.7320414112636077, 0.585329341393904]",11,21
236,"[0.7233704589534642, 0.5858283433602943]",12,23
237,"[0.7146247570615372, 0.5863273453266847]",14,26
238,"[0.7058043055745484, 0.586826347293075]",15,29
239,"[0.6969277918912633, 0.5878243513676807]",17,32
240,"[0.6879578412274291, 0.5893213573377643]",18,34
241,"[0.6789318283672987, 0.5908183633787603]",19,38
242,"[0.6694760053753975, 0.5913173653451506]",20,39
243,"[0.6607303034834705, 0.5933133732816245]",22,42
244,"[0.6520780385720926, 0.594810379251708]",23,44
245,"[0.6435192106412636, 0.596307385292704]",24,46
246,"[0.6350164449067309, 0.5973053892254847]",25,49
247,"[0.6266258035515128, 0.5983033932291778]",26,51
248,"[0.618291224392591, 0.5988023951955682]",27,52
249,"[0.6100500822274963, 0.5988023951955682]",28,54
250,"[0.6018836896309071, 0.5993013973037834]",28,55
251,"[0.5930445507584311, 0.5993013973037834]",29,58
252,"[0.5859059650142721, 0.5993013973037834]",30,59
253,"[0.5790103154407857, 0.5988023951955682]",30,60
254,"[0.5723576020246937, 0.5978043912627875]",30,62
255,"[0.5659291373805088, 0.596307385292704]",31,62
256,"[0.5597436089069965, 0.594810379251708]",31,62
257,"[0.5538010165908785, 0.5928143713152341]",32,62
258,"[0.5480826730466677, 0.5898203593041546]",32,62
259,"[0.5426072656598513, 0.5873253492594654]",32,63
260,"[0.8666467334439725, 0.6412175648206845]",8,15
261,"[0.8582934668862853, 0.6432135728989833]",2,2
262,"[0.849809388550518, 0.6452095809063696]",2,2
263,"[0.8411384362403747, 0.6472055888428435]",2,2
264,"[0.8323740469364039, 0.6487025948838394]",2,3
265,"[0.8231798475139409, 0.6497005987457077]",3,6
266,"[0.8138548363001197, 0.6506986028203133]",4,7
267,"[0.8044177006937059, 0.6521956087903968]",6,11
268,"[0.7948497533224903, 0.6536926148313928]",7,13
269,"[0.785169681558682, 0.6551896208014764]",9,16
270,"[0.7753587980167939, 0.6571856288088627]",9,17
271,"[0.7654357901088695, 0.6591816367453366]",11,20
272,"[0.7553819703963087, 0.6611776446818105]",12,22
273,"[0.7449730901470392, 0.6631736526891968]",13,26
274,"[0.734807146055164, 0.6646706586592803]",15,29
275,"[0.724641201976567, 0.6661676647002763]",15,30
276,"[0.7144752578846918, 0.6671656687039694]",17,33
277,"[0.7043466885903475, 0.6686626746031405]",19,36
278,"[0.6941994318972378, 0.6701596807150489]",20,39
279,"[0.6840708626028935, 0.6711576846478297]",21,42
280,"[0.6739609807073146, 0.6726546906179133]",22,43
281,"[0.6638510988117358, 0.673652694550694]",23,46
282,"[0.6534982807587625, 0.6746506986252996]",24,48
283,"[0.6450889520047789, 0.6741516966589092]",26,51
284,"[0.6370346838007823, 0.6731536925843036]",26,51
285,"[0.6293541635455383, 0.6716566866851325]",28,55
286,"[0.6220287038402813, 0.6691616766404433]",28,55
287,"[0.6150583046717331, 0.6666666667375791]",29,58
288,"[0.6084616534519374, 0.6631736526891968]",30,58
289,"[0.6022387501808941, 0.6591816367453366]",30,59
290,"[0.596370907459838, 0.6541916167977831]",31,62
291,"[0.5889706981595192, 0.6516966068240065]",31,62
292,"[0.5832523546153084, 0.6452095809063696]",32,62
293,"[0.5777956346272574, 0.6387225549178203]",31,62
294,"[0.5725818507966008, 0.6312375249255777]",32,62
295,"[0.8528554342969997, 0.6262475049780243]",8,2
296,"[0.8440162954112455, 0.6287425150227134]",2,2
297,"[0.8349342203548187, 0.6312375249255777]",2,2
298,"[0.8261885184628917, 0.6317365269628805]",2,3
299,"[0.8171438182039957, 0.6327345310374861]",3,4
300,"[0.8078001195914091, 0.6337325349702668]",3,6
301,"[0.7981761100238972, 0.6347305389030475]",5,8
302,"[0.7882344147039291, 0.636227544873131]",6,11
303,"[0.7779937210302703, 0.6377245509850394]",7,13
304,"[0.7674540290029209, 0.639720558850601]",9,17
305,"[0.7566153386086025, 0.6412175648206845]",10,19
306,"[0.7454215876775753, 0.6447105787981543]",11,22
307,"[0.7349940200295403, 0.6462075848391503]",13,26
308,"[0.7246038271790362, 0.6477045909510587]",14,28
309,"[0.7142136343152538, 0.6492015967793173]",16,32
310,"[0.7038608162622806, 0.6506986028203133]",17,33
311,"[0.6935266855947946, 0.6516966068240065]",19,37
312,"[0.6832299297381177, 0.6531936128650024]",20,39
313,"[0.6729518612669281, 0.6541916167977831]",22,43
314,"[0.6626737927957383, 0.6546906187641736]",23,44
315,"[0.6519098519964818, 0.6561876247342571]",24,48
316,"[0.6415009717472122, 0.6566866268424724]",25,49
317,"[0.6313537150541024, 0.6571856288088627]",26,52
318,"[0.6214493945316653, 0.6571856288088627]",28,55
319,"[0.6118253849508751, 0.6571856288088627]",28,55
320,"[0.6024443115540359, 0.6561876247342571]",29,58
321,"[0.5933061743145909, 0.6551896208014764]",30,59
322,"[0.5844483480300713, 0.6536926148313928]",30,60
323,"[0.5758334579162241, 0.6516966068240065]",31,62
324,"[0.5672933173841607, 0.6497005987457077]",31,62
325,"[0.5592577365789295, 0.6462075848391503]",31,62
326,"[0.55155852892492, 0.6417165669288997]",32,62
327,"[0.8063985648035046, 0.5613772455180053]",8,2
328,"[0.8010165944105153, 0.560878243551615]",2,2
329,"[0.7955785618079516, 0.5598802395479218]",2,2
330,"[0.7900657796368825, 0.5593812375815315]",2,2
331,"[0.7841792495170609, 0.5578842315405355]",2,2
332,"[0.7784422185608064, 0.5583832335069259]",2,3
333,"[0.7726678128202993, 0.5588822354733162]",2,4
334,"[0.766837344896774, 0.5593812375815315]",3,6
335,"[0.7609881895612051, 0.5603792415852246]",4,6
336,"[0.7551016594413835, 0.560878243551615]",4,7
337,"[0.749177754524031, 0.5613772455180053]",5,10
338,"[0.7432164748091477, 0.5618762474843957]",6,11
339,"[0.7372178202967333, 0.5628742515590013]",7,13
340,"[0.7304156077170741, 0.5618762474843957]",7,14
341,"[0.7244169532046599, 0.5628742515590013]",9,17
342,"[0.718436986091011, 0.5633732534544792]",9,17
343,"[0.7124943937748931, 0.5638722554208696]",10,20
344,"[0.7065704888575406, 0.5648702594954752]",11,22
345,"[0.700683958737719, 0.565369261532778]",12,22
346,"[0.6948348034021501, 0.5658682634991684]",13,26
347,"[0.6890043354786248, 0.5668662674319491]",14,27
348,"[0.6832112423393523, 0.5673652693983394]",15,29
349,"[0.6766706533025747, 0.5688622754393354]",16,31
350,"[0.6709896845558948, 0.5678642715065547]",17,33
351,"[0.6653087157959366, 0.5668662674319491]",18,34
352,"[0.6595903722517258, 0.5663672654655587]",19,38
353,"[0.653872028707515, 0.5663672654655587]",20,39
354,"[0.6481349977512606, 0.5663672654655587]",21,42
355,"[0.6423792794095189, 0.5663672654655587]",22,43
356,"[0.6366048736690118, 0.5663672654655587]",23,45
357,"[0.6308117805297392, 0.5668662674319491]",24,46
358,"[0.6242711915062398, 0.5673652693983394]",25,49
359,"[0.6184780983669672, 0.568363273472945]",25,49
360,"[0.6127597548094782, 0.5688622754393354]",26,51
361,"[0.60715353565786, 0.5688622754393354]",26,54
362,"[0.6016407534735128, 0.5693612774766382]",28,55
363,"[0.5962027208842272, 0.5698602794430285]",28,55
364,"[0.5908768126742562, 0.5698602794430285]",29,57
365,"[0.5856256540593469, 0.5698602794430285]",29,58
366,"[0.580486619823752, 0.5698602794430285]",30,59
367,"[0.5751420242150155, 0.5703592815512438]",30,59
368,"[0.5700216773781861, 0.5703592815512438]",31,60
369,"[0.5650508297182021, 0.5703592815512438]",31,62
370,"[0.5601921064375325, 0.5703592815512438]",31,62
371,"[0.5554641949482211, 0.5698602794430285]",31,62
372,"[0.5508857826224768, 0.5688622754393354]",31,62
373,"[0.5464194946893252, 0.568363273472945]",32,62
374,"[0.5420653311354879, 0.5668662674319491]",32,62
375,"[0.8259082074946882, 0.698103792392983]",2,2
376,"[0.8196292420406268, 0.6971057883892898]",2,2
377,"[0.8133502765732873, 0.6961077844565091]",2,2
378,"[0.8070526237071823, 0.6951097805237284]",2,3
379,"[0.8007549708543555, 0.6941117765200352]",2,3
380,"[0.7944760053737377, 0.6926147704790392]",3,4
381,"[0.788178352520911, 0.6911177645089557]",3,6
382,"[0.781880699654806, 0.6896207584679598]",4,7
383,"[0.7749289878850233, 0.6891217565015694]",5,10
384,"[0.7676782777615498, 0.6896207584679598]",6,11
385,"[0.7604275676513546, 0.6896207584679598]",7,13
386,"[0.7531955449266465, 0.6896207584679598]",7,14
387,"[0.7459635222019385, 0.690119760576175]",8,16
388,"[0.7387314994772305, 0.690119760576175]",9,17
389,"[0.731518164151288, 0.690119760576175]",10,20
390,"[0.7243048288253454, 0.6906187625425654]",11,22
391,"[0.7171101808848901, 0.6906187625425654]",12,22
392,"[0.7091306622759553, 0.6916167664753461]",13,26
393,"[0.7026461354487523, 0.6911177645089557]",14,27
394,"[0.6962363582033329, 0.6906187625425654]",15,29
395,"[0.6899200179384624, 0.690119760576175]",16,31
396,"[0.6836784272686538, 0.6896207584679598]",17,34
397,"[0.6775302735793941, 0.6891217565015694]",19,36
398,"[0.6714568694851962, 0.6881237524978762]",20,39
399,"[0.665458214972782, 0.6876247505314859]",20,39
400,"[0.6595343100554295, 0.6871257485650955]",22,42
401,"[0.6524891613050977, 0.6886227544642666]",22,44
402,"[0.6459298848828329, 0.6876247505314859]",23,45
403,"[0.6394453580423517, 0.6866267464568803]",24,47
404,"[0.6330355807969322, 0.6851297406286216]",25,48
405,"[0.6267005531465746, 0.6836327345167131]",26,52
406,"[0.620421587679235, 0.6821357286175421]",26,52
407,"[0.6142173718069572, 0.6806387225765461]",28,55
408,"[0.6080879055164631, 0.6786427144982473]",28,55
409,"[0.6020331888210306, 0.6766467067035984]",28,55
410,"[0.5953244132086423, 0.6756487026289927]",29,58
411,"[0.5896621318607278, 0.6731536925843036]",30,59
412,"[0.5841493496763805, 0.6706586826814394]",30,59
413,"[0.5787300044858604, 0.6676646706703598]",31,60
414,"[0.5734601584721857, 0.6646706586592803]",31,62
415,"[0.5683024368378254, 0.6616766467900257]",31,62
416,"[0.563275526981545, 0.6586826347789462]",32,62
417,"[0.5583607415178574, 0.6551896208014764]",31,62
418,"[0.5535767678189714, 0.6516966068240065]",32,62
419,"[0.548325609204062, 0.6497005987457077]",32,62
420,"[0.8328786066632363, 0.5034930140129261]",8,15
421,"[0.8262445806459098, 0.5029940120465357]",2,2
422,"[0.8195171176480341, 0.5024950100092329]",2,2
423,"[0.8120608461646972, 0.5039920159793164]",2,2
424,"[0.8046793242631438, 0.5039920159793164]",2,4
425,"[0.7970548661909179, 0.5034930140129261]",3,6
426,"[0.7891500971770449, 0.5039920159793164]",4,7
427,"[0.7809837045804556, 0.5039920159793164]",5,10
428,"[0.7725370010422193, 0.5049900199120971]",6,11
429,"[0.763828673934545, 0.5059880239157903]",7,14
430,"[0.7548587232707109, 0.5069860279903959]",9,16
431,"[0.7456271490507169, 0.5084830339604794]",9,17
432,"[0.7368440723479809, 0.5094810378932602]",11,21
433,"[0.7280049334755048, 0.5104790419678659]",12,23
434,"[0.7192218567727687, 0.5119760479379494]",13,26
435,"[0.7104574674820763, 0.512974052012555]",15,29
436,"[0.701749140374402, 0.514471057911726]",16,31
437,"[0.693059500665493, 0.5159680638818096]",17,34
438,"[0.6844259231528805, 0.5174650698518931]",19,37
439,"[0.6758110330390334, 0.5189620758928891]",19,38
440,"[0.6672335177094391, 0.5204590818629726]",20,39
441,"[0.6583756914249194, 0.5219560879039685]",22,42
442,"[0.6507138585684407, 0.5224550898703589]",22,44
443,"[0.643313649268122, 0.5229540919076617]",23,46
444,"[0.6361750635372411, 0.5234530938740521]",24,48
445,"[0.6293167887480074, 0.5239520958404424]",25,49
446,"[0.6227388249269772, 0.5239520958404424]",26,51
447,"[0.616422484675385, 0.5244510978068329]",26,52
448,"[0.6103864553654398, 0.5244510978068329]",28,55
449,"[0.6046120496249326, 0.5244510978068329]",28,55
450,"[0.598146210196495, 0.5239520958404424]",28,55
451,"[0.5925960532146168, 0.5244510978068329]",29,57
452,"[0.5872514576191585, 0.5249500997732232]",30,59
453,"[0.5821124233835637, 0.5254491018814385]",30,59
454,"[0.5771602631223451, 0.5259481037769164]",30,60
455,"[0.57241366422099, 0.5264471057433067]",31,62
456,"[0.5678726266927766, 0.526946107851522]",31,62
457,"[0.5635371505377049, 0.5274451098179124]",31,62
458,"[0.5594072357557749, 0.5279441117843027]",32,62
459,"[0.5548475108420742, 0.5279441117843027]",32,63
460,"[0.5510913439956184, 0.526946107851522]",32,62
461,"[0.547522051123539, 0.5254491018814385]",32,63
462,"[0.84825833457249, 0.6327345310374861]",8,15
463,"[0.8424465540344519, 0.6332335330038764]",2,3
464,"[0.8371953954328208, 0.6327345310374861]",8,2
465,"[0.8319255494058679, 0.6322355289292708]",2,2
466,"[0.8265996411958968, 0.6317365269628805]",8,15
467,"[0.8212363582016731, 0.6312375249255777]",3,4
468,"[0.8158543877954056, 0.6307385229591873]",4,6
469,"[0.8104163552061201, 0.6307385229591873]",2,3
470,"[0.8049409478193037, 0.630239520992797]",3,4
471,"[0.7994281656349563, 0.6297405188845817]",3,5
472,"[0.7932613245602095, 0.6297405188845817]",4,7
473,"[0.7878046045721585, 0.6297405188845817]",5,9
474,"[0.7823478845841075, 0.6297405188845817]",6,11
475,"[0.7769472267923528, 0.6297405188845817]",6,11
476,"[0.7715652563860854, 0.6292415169181913]",7,14
477,"[0.7662019733918617, 0.6292415169181913]",8,14
478,"[0.7608760651818907, 0.6282435130563231]",9,17
479,"[0.7555875317694505, 0.6277445110899327]",9,17
480,"[0.7503176857557757, 0.6267465070153271]",10,20
481,"[0.7450665271408664, 0.6252495010452436]",11,22
482,"[0.7397593063163825, 0.6252495010452436]",12,22
483,"[0.7344147107209242, 0.625748503011634]",12,26
484,"[0.7290327403146568, 0.625748503011634]",14,26
485,"[0.7236133951241368, 0.6262475049780243]",15,29
486,"[0.7181753625348513, 0.6272455089817175]",15,29
487,"[0.7126812677492693, 0.6277445110899327]",16,31
488,"[0.7071684855649221, 0.6287425150227134]",17,33
489,"[0.7015996411975566, 0.6297405188845817]",18,36
490,"[0.696161608608271, 0.6292415169181913]",19,37
491,"[0.6905927642409055, 0.6292415169181913]",20,38
492,"[0.6850426072590274, 0.6297405188845817]",20,39
493,"[0.6795111376891928, 0.630239520992797]",21,41
494,"[0.6739796681060801, 0.6307385229591873]",22,43
495,"[0.6684668859350109, 0.6312375249255777]",23,44
496,"[0.6629541037506637, 0.6317365269628805]",24,46
497,"[0.6574786963638473, 0.6322355289292708]",24,48
498,"[0.6519846015782653, 0.6322355289292708]",25,49
499,"[0.6463970698121344, 0.6332335330038764]",26,51
500,"[0.6411272237984597, 0.6327345310374861]",26,52
501,"[0.6359695021640994, 0.6322355289292708]",27,54
502,"[0.6308678427260355, 0.6317365269628805]",28,54
503,"[0.6258596202685206, 0.6307385229591873]",28,55
