index,unit2_pos,unit1_beam_32,unit1_beam_64
3979,"[0.3799708476550047, 0.7589820359091417]",31,62
5058,"[0.38550231723811745, 0.5259481037769164]",20,39
713,"[0.5288720286958966, 0.5983033932291778]",31,62
2530,"[0.2965316190719592, 0.5029940120465357]",6,11
3478,"[0.4167102705871607, 0.836826347275347]",17,34
3763,"[0.5123523695548983, 0.6651696607674956]",2,3
4885,"[0.6102930183848907, 0.46207584832059057]",6,11
386,"[0.7531955449266465, 0.6896207584679598]",7,14
3106,"[0.5853453430911434, 0.808882235597413]",11,21
1565,"[0.8493982658042346, 0.6741516966589092]",9,16
3656,"[0.3845866347650017, 0.7739520958227143]",20,40
4909,"[0.42766108536079356, 0.5044910179457068]",28,55
5250,"[0.15166691583244826, 0.6157684630456147]",32,62
2341,"[0.6878830916323674, 0.7025948104450584]",2,3
332,"[0.7784422185608064, 0.5583832335069259]",2,3
5217,"[0.3339437883065584, 0.49650698598707393]",6,12
3296,"[0.5011212438263402, 0.6506986028203133]",17,33
5078,"[0.3562191657892984, 0.718063872254109]",2,2
4711,"[0.3909216624286376, 0.32784431134847714]",32,62
2653,"[0.7159328748688927, 0.6771457086699887]",6,11
4731,"[0.49134773508198293, 0.35379241523176214]",15,29
2964,"[0.6593100612968006, 0.5818363273455217]",14,26
5850,"[0.53625355059745, 0.1761477046308393]",4,6
2480,"[0.31779787711431257, 0.5149700598072039]",3,6
2642,"[0.7828898191084708, 0.6457085828727599]",8,15
1136,"[0.39454701748373516, 0.7904191617063705]",31,62
784,"[0.512912991478027, 0.807385229556417]",19,37
4085,"[0.4272499626277884, 0.9181636726190221]",20,39
4853,"[0.6008185079942242, 0.4630738523242837]",9,17
1622,"[0.8168821946478358, 0.6681636726367501]",15,29
2033,"[0.5594819853508366, 0.8263473054138498]",28,55
5387,"[0.37528031094994596, 0.5084830339604794]",4,6
3333,"[0.5727126625746807, 0.6666666667375791]",6,12
2861,"[0.9103004933483804, 0.9421157684949207]",8,2
928,"[0.8883614890035838, 0.5224550898703589]",11,21
5467,"[0.20928016145943976, 0.5444111776679588]",31,62
5796,"[0.3092390491834836, 0.137225548841368]",31,60
3733,"[0.4393967708161841, 0.8597804391475525]",12,22
2576,"[0.19178875766230755, 0.6112774450644517]",8,16
4807,"[0.5558005680994427, 0.38473053892077563]",4,8
3711,"[0.2793579010272831, 0.9191616766227152]",30,59
5268,"[0.37133727014239215, 0.580838323412741]",11,22
4053,"[0.3046045746747212, 0.7604790419501377]",30,60
4681,"[0.5620608461680168, 0.35029940125429226]",12,22
2389,"[0.5647331439657459, 0.739520958156231]",2,3
3085,"[0.4949357153528279, 0.7030938124114489]",30,58
3804,"[0.5064658394350767, 0.5778443114016615]",4,6
3278,"[0.6248505008148558, 0.6192614771649094]",2,3
670,"[0.5694423680695702, 0.678143712531857]",32,62
201,"[0.725669008815719, 0.560878243551615]",14,26
180,"[0.5907273134974108, 0.6287425150227134]",30,59
690,"[0.6554978322540485, 0.6017964072066477]",15,29
1625,"[0.8012221557703788, 0.6696606786068338]",17,33
725,"[0.6867244730151354, 0.7684630739087706]",6,11
434,"[0.7192218567727687, 0.5119760479379494]",13,26
29,"[0.7536253550584172, 0.6651696607674956]",24,47
4822,"[0.4658768126626377, 0.41267465074053455]",20,39
5890,"[0.5434295111391398, 0.14221556885983386]",4,7
958,"[0.6891164598579392, 0.5299401197207766]",31,62
2089,"[0.46101808939524636, 0.7859281437252075]",32,63
2868,"[0.8643481835817176, 0.9161676647534607]",6,11
474,"[0.7823478845841075, 0.6297405188845817]",6,11
1765,"[0.6331663925882903, 0.7120758483028624]",17,34
4600,"[0.6669718941532792, 0.32085828353536233]",12,22
4561,"[0.7526162356047523, 0.36526946109695246]",9,17
3752,"[0.27930183884426496, 0.8712574850836552]",30,58
3077,"[0.5494094782395105, 0.6941117765200352]",24,47
2431,"[0.4213260577104359, 0.7844311376842115]",2,2
2400,"[0.4826394079743086, 0.7619760479202212]",11,21
3692,"[0.41592539990540306, 0.901197604839888]",12,23
872,"[0.5856256540593469, 0.8747504990611251]",4,8
4674,"[0.6125168186520838, 0.33632734534441283]",6,11
4083,"[0.442723127517591, 0.9151696607497675]",19,37
5284,"[0.2560734040908783, 0.6202594810267777]",28,55
1425,"[0.6263081177990566, 0.6626746507228064]",31,62
4543,"[0.3044550754978758, 0.3827345309133893]",29,57
4723,"[0.5549596352213887, 0.34031936128827306]",7,13
1505,"[0.652096725970858, 0.6497005987457077]",32,62
4904,"[0.4660823740490576, 0.5084830339604794]",25,49
4836,"[0.3959485722849179, 0.4316367265270549]",31,62
4066,"[0.5666579458792483, 0.8912175649447812]",2,2
2272,"[0.5196404544759027, 0.8587824352147717]",18,34
612,"[0.6286627298576078, 0.659680638711727]",27,54
715,"[0.5214157572125596, 0.5918163672406285]",32,63
4525,"[0.44160188368461173, 0.3862275448908592]",12,23
5118,"[0.1573478845924064, 0.8093812375638033]",30,59
3999,"[0.5447563163319826, 0.5828343313492148]",12,23
3799,"[0.5407198385438798, 0.5678642715065547]",2,2
871,"[0.5928203019865239, 0.8752495010275154]",4,7
3022,"[0.5908581252754906, 0.7175648702877186]",17,34
2242,"[0.41336522648698837, 0.8383233532454305]",31,62
1378,"[0.6482284347450878, 0.6851297406286216]",30,59
5912,"[0.35646210195997097, 0.19211576847719264]",26,52
2227,"[0.5014015547945436, 0.8373253493835622]",24,47
1684,"[0.7664075347517252, 0.7944111776502307]",20,39
5134,"[0.30180146508563394, 0.7375249501488447]",6,10
4557,"[0.78840260127954, 0.35429141712724005]",5,10
1813,"[0.691284197928836, 0.588323353334071]",22,42
1411,"[0.7192405441715342, 0.6791417166064626]",24,46
45,"[0.6607116160847051, 0.5888223553004615]",32,62
3784,"[0.33153311406498903, 0.7060878243516159]",26,51
3822,"[0.37518687396939693, 0.6062874251168983]",22,43
2912,"[0.7792644640533731, 0.7679640719423803]",4,6
2367,"[0.5096053221753856, 0.7330339321676816]",24,48
5908,"[0.39183734488847516, 0.18463073848495012]",23,44
868,"[0.6105172671567979, 0.8747504990611251]",2,2
3663,"[0.3293280011965614, 0.7794411177366581]",28,55
1051,"[0.6834354910979812, 0.5284431138216055]",8,15
3542,"[0.3716362684960829, 0.8792415169004633]",31,62
574,"[0.5636492749302976, 0.6002994012365642]",32,63
2113,"[0.5551278217969995, 0.8682634730725758]",11,21
2335,"[0.4345941097318109, 0.6851297406286216]",32,62
2706,"[0.6097510838605275, 0.5978043912627875]",17,33
5,"[0.9404993272437588, 0.6826347305839324]",2,3
441,"[0.6583756914249194, 0.5219560879039685]",22,42
355,"[0.6423792794095189, 0.5663672654655587]",22,43
277,"[0.7043466885903475, 0.6686626746031405]",19,36
4884,"[0.6175997907046605, 0.45958083834681385]",5,9
2708,"[0.5965951562184669, 0.6012974050984324]",20,38
4785,"[0.3937060846189594, 0.34131736536287866]",24,47
4148,"[0.38681043504547297, 0.4560878244402564]",30,60
3554,"[0.6087793392043935, 0.731536926197598]",4,10
4787,"[0.3793541635488578, 0.3448103793403485]",27,53
3193,"[0.47992973537904854, 0.861277445117636]",7,14
5642,"[0.5153423531183619, 0.26546906186223485]",6,11
5269,"[0.3639557482408388, 0.582335329311912]",12,23
2041,"[0.5066340260106875, 0.8203592815335157]",31,62
5167,"[0.1358760651769113, 0.8822355290533677]",31,62
3591,"[0.3676932276885291, 0.7450099800701747]",32,62
1484,"[0.8174428165576865, 0.6082834331951971]",12,22
4225,"[0.3914822843517663, 0.6132734531427505]",21,41
5537,"[0.33586859022006077, 0.30339321357710053]",28,54
3934,"[0.6322880849127055, 0.7470059880066486]",2,2
5954,"[0.3587793392077131, 0.05089820355013951]",28,55
4898,"[0.5111190013426046, 0.4975049899907671]",20,39
1156,"[0.5354126177326741, 0.5813373253791313]",16,31
1692,"[0.7061219913270046, 0.7914171657809761]",28,54
5910,"[0.3741777545157321, 0.18712574852963926]",25,48
22,"[0.8066041261766462, 0.6651696607674956]",19,34
1395,"[0.8460345343052968, 0.6631736526891968]",6,11
2988,"[0.4983928838455929, 0.5933133732816245]",32,63
2391,"[0.5506054716675515, 0.744011976137394]",4,7
5846,"[0.5685079981976889, 0.16666666670212288]",2,2
249,"[0.6100500822274963, 0.5988023951955682]",28,54
1160,"[0.4936462849442378, 0.5828343313492148]",22,42
3427,"[0.5292457766446491, 0.7854291417588171]",10,19
4737,"[0.44722679024827355, 0.3592814371457059]",22,44
2244,"[0.4050680221255974, 0.8353293413761759]",32,62
4059,"[0.2796008371979557, 0.7834331337514308]",32,62
3753,"[0.27362087008430686, 0.8737524949865195]",30,59
985,"[0.6800530722002779, 0.47954091820793987]",19,38
1237,"[0.7960457467505313, 0.5843313373902108]",9,16
553,"[0.6486582448768584, 0.636227544873131]",24,47
2107,"[0.5856630288568777, 0.8632734531250223]",7,13
4631,"[0.6236731947988584, 0.40169660677082214]",9,16
3145,"[0.5312079533556824, 0.6676646706703598]",6,10
5507,"[0.18902302287075115, 0.3902195608347194]",32,63
1938,"[0.6442293317412376, 0.6117764471017545]",20,40
2763,"[0.45980340858171803, 0.8358283433425663]",30,59
3264,"[0.4452272387529876, 0.6566866268424724]",30,59
4623,"[0.687733592455522, 0.38323353302160457]",2,3
3424,"[0.5501943489345463, 0.7834331337514308]",7,13
3024,"[0.5794027507883036, 0.7190618763287147]",20,39
1916,"[0.5675736283390859, 0.6536926148313928]",32,63
2816,"[0.4305763193291953, 0.7220558881979692]",2,3
3096,"[0.6653834653909985, 0.7869261477289006]",2,3
2515,"[0.10691059949382659, 0.5069860279903959]",32,62
4576,"[0.6129653161826198, 0.39471057881588245]",27,54
1228,"[0.834990282551115, 0.5793413174426575]",4,6
3493,"[0.31376139931293157, 0.8517964071889196]",30,59
2218,"[0.5659104499950215, 0.8328343313314868]",15,29
1656,"[0.6709523097583638, 0.6097804391652806]",31,62
1382,"[0.6271303632783451, 0.6811377245429365]",31,61
1290,"[0.8257213335335901, 0.7125748503401652]",5,8
2506,"[0.1593661234864578, 0.5054890220203124]",26,51
223,"[0.8291037524312934, 0.572854291454108]",2,2
2910,"[0.7951113768786501, 0.7639720558566951]",2,4
497,"[0.6574786963638473, 0.6322355289292708]",24,48
2813,"[0.45105770667651285, 0.7155688623512447]",2,2
4887,"[0.5950254148549516, 0.47405189622308364]",8,14
1124,"[0.4597660337841872, 0.7899201597399801]",23,46
234,"[0.7406563013907329, 0.585329341393904]",10,19
1234,"[0.8088466138426048, 0.5793413174426575]",7,13
746,"[0.5327963821179631, 0.7824351297477375]",28,54
1908,"[0.6081439676994812, 0.6536926148313928]",29,57
3020,"[0.6023134997759559, 0.7165668662840254]",17,32
4725,"[0.5386455374402539, 0.3448103793403485]",9,17
624,"[0.572862161751526, 0.6322355289292708]",31,62
1343,"[0.8721034534320234, 0.6866267464568803]",3,5
1930,"[0.7102145313114037, 0.586826347293075]",10,19
5190,"[0.3119300343799782, 0.5978043912627875]",22,42
4061,"[0.27597548212957984, 0.7884231536280717]",32,62
2657,"[0.6913028853276015, 0.6881237524978762]",9,17
2363,"[0.5356929286875994, 0.7300399201566021]",22,42
4136,"[0.4621393332282256, 0.45558882247386606]",25,48
1236,"[0.8004185976898557, 0.582335329311912]",9,16
1741,"[0.5668261324548591, 0.8458083833085854]",32,63
5308,"[0.3610031394749062, 0.5908183633787603]",15,29
3002,"[0.6921438182056555, 0.7025948104450584]",3,5
4463,"[0.30800568097118985, 0.23153692609122942]",32,62
3857,"[0.4735760203299254, 0.768962075875161]",12,23
117,"[0.7964568694835364, 0.5893213573377643]",8,2
421,"[0.8262445806459098, 0.5029940120465357]",2,2
4141,"[0.4288010165925383, 0.45708582837303713]",26,52
3399,"[0.38453057258198353, 0.7405189620890117]",26,52
3923,"[0.31157497382999116, 0.8243512974064635]",30,60
3230,"[0.695320675730217, 0.596307385292704]",2,2
1597,"[0.945600986695101, 0.6626746507228064]",2,2
1688,"[0.7364516370137412, 0.7924151696428444]",24,47
5163,"[0.15123710570067767, 0.8792415169004633]",30,59
2317,"[0.5747309014820103, 0.6671656687039694]",20,38
4812,"[0.520724323511351, 0.39271457087940853]",9,17
944,"[0.7790775900657188, 0.5284431138216055]",25,49
637,"[0.7810584541755174, 0.7260479041418294]",5,10
4399,"[0.5057557183351026, 0.35678642710101677]",15,29
5235,"[0.2115600239229292, 0.4935129741178193]",24,47
4874,"[0.4174203916871348, 0.5089820359268699]",30,59
3657,"[0.37634549259990707, 0.7749500998264075]",22,43
2170,"[0.6125915682471456, 0.7624750500284365]",15,28
5014,"[0.46980116609798245, 0.5044910179457068]",13,26
2117,"[0.537356107044942, 0.8662674651361019]",14,26
408,"[0.6080879055164631, 0.6786427144982473]",28,55
3954,"[0.5033076693092806, 0.7549900199652815]",17,34
5874,"[0.3513417551231416, 0.2005988024022159]",28,54
1371,"[0.6910225743726762, 0.6956087824901187]",28,54
4199,"[0.34042831514703964, 0.6377245509850394]",32,62
4798,"[0.3090521752091074, 0.34780439120960316]",31,62
2786,"[0.5432052623672327, 0.7854291417588171]",13,26
2217,"[0.5722828524429101, 0.8328343313314868]",14,27
3633,"[0.3006241590696365, 0.6841317365540159]",32,63
2753,"[0.5291897144483527, 0.8233532934027703]",23,44
2619,"[0.7212961578631164, 0.7400199601226213]",17,33
1759,"[0.6753812228939846, 0.7150698602430294]",12,23
5002,"[0.561014351916821, 0.4765469061259479]",2,2
3973,"[0.39886380625331963, 0.7614770459538309]",30,58
5927,"[0.5613880998655736, 0.021956087797599895]",3,4
2873,"[0.8304305576241361, 0.9236526946747907]",10,19
1719,"[0.7513454925949278, 0.8772455091058142]",12,23
606,"[0.6602070563578727, 0.6686626746031405]",23,44
369,"[0.5650508297182021, 0.5703592815512438]",31,62
2625,"[0.6741665420804563, 0.7390219561898406]",23,46
142,"[0.5756278965430824, 0.625748503011634]",27,54
1065,"[0.6016033786759819, 0.5508982036565082]",9,17
3203,"[0.412860666760156, 0.867265469139795]",18,34
4190,"[0.3687397219264466, 0.6516966068240065]",31,60
1934,"[0.6779227089269121, 0.6012974050984324]",15,29
4632,"[0.6147219315205115, 0.4041916168155113]",9,17
2333,"[0.44625504559213963, 0.6846307385204063]",31,62
1992,"[0.4834803408523626, 0.6766467067035984]",30,59
1241,"[0.7773396621265926, 0.5923153692070189]",12,22
3964,"[0.44072357602230505, 0.7549900199652815]",25,48
4109,"[0.6373149947689858, 0.4416167664930742]",2,3
2853,"[0.17140080729553903, 0.7230538922725749]",31,62
2546,"[0.17713783823851528, 0.5059880239157903]",22,43
1298,"[0.7906637763442639, 0.7145708583475516]",9,17
1374,"[0.6722604275657194, 0.6916167664753461]",28,55
3240,"[0.6235423830075003, 0.6107784430980613]",9,16
2197,"[0.4390043354686662, 0.7674650699759898]",32,62
2438,"[0.3699917775375058, 0.7794411177366581]",6,11
4551,"[0.8381297652781456, 0.33632734534441283]",2,2
4187,"[0.3893892958626531, 0.6521956087903968]",29,56
1852,"[0.6205337120585495, 0.698103792392983]",23,44
3072,"[0.5871953954228621, 0.6941117765200352]",20,39
1832,"[0.7720511287141524, 0.6831337325503228]",3,6
3417,"[0.595660786359864, 0.7784431138038773]",2,4
2955,"[0.7230901479985389, 0.562375249592611]",5,10
2646,"[0.7584840783390867, 0.6576846307752531]",2,3
5042,"[0.5146882942146841, 0.49650698598707393]",3,5
5877,"[0.32985124832215923, 0.20209580837229943]",30,59
3086,"[0.4889931230367099, 0.7020958083368432]",31,62
3561,"[0.5606406039680686, 0.7370259481115419]",11,20
959,"[0.6832673045223704, 0.5284431138216055]",32,62
896,"[0.4453580505310675, 0.8572854292446882]",26,51
504,"[0.6209448348048329, 0.630239520992797]",28,55
3284,"[0.5859620272105684, 0.6337325349702668]",6,11
731,"[0.6413888473546195, 0.7694610778415513]",12,23
3180,"[0.3187322469729156, 0.6866267464568803]",31,62
3808,"[0.4782291822374533, 0.5873253492594654]",7,14
1132,"[0.41549558977363243, 0.7914171657809761]",29,57
3985,"[0.3729443863034384, 0.7465069860402582]",32,62
2580,"[0.16753251606976882, 0.6107784430980613]",12,23
1923,"[0.7652489161344932, 0.5588822354733162]",3,5
4196,"[0.35053819704261846, 0.6437125748653736]",31,62
2162,"[0.67539991029275, 0.7529940120288077]",6,11
4537,"[0.3457542233437325, 0.391217564909325]",25,49
127,"[0.7152227537689186, 0.6032934131767312]",9,17
4739,"[0.43354761549389337, 0.3602794411493991]",24,47
5305,"[0.3906039766761814, 0.5788423153344422]",12,22
182,"[0.5745066527101031, 0.6297405188845817]",31,62
1353,"[0.8064920017840536, 0.7020958083368432]",12,22
2076,"[0.5207803857076474, 0.8153692615150498]",28,54
220,"[0.5506428464650824, 0.5773453093643587]",32,62
4243,"[0.2891874719679367, 0.6272455089817175]",31,62
5119,"[0.1514239796617757, 0.8083832334891977]",31,62
5411,"[0.22286589923327088, 0.556387225570452]",24,48
2016,"[0.6842016743809733, 0.8243512974064635]",11,21
4844,"[0.6708775601765803, 0.4406187625602935]",2,2
1012,"[0.7909627746979546, 0.5783433133680518]",2,6
5935,"[0.500803558073884, 0.022954091872205512]",9,17
102,"[0.5876625803521637, 0.546906187712648]",22,44
4656,"[0.4565144266645638, 0.43413173650083164]",28,48
1553,"[0.9302586335701001, 0.6741516966589092]",8,2
1578,"[0.7520743010936672, 0.6866267464568803]",22,43
821,"[0.588783824185143, 0.6891217565015694]",6,11
5344,"[0.4054417700743499, 0.5858283433602943]",8,16
5225,"[0.27601285692711075, 0.48602794412557676]",14,28
5417,"[0.18749065630476672, 0.596307385292704]",28,55
1273,"[0.6195806548011811, 0.6352295409403503]",31,62
4541,"[0.31777918971554714, 0.3862275448908592]",28,55
5821,"[0.43958364479056034, 0.4086826347257619]",17,33
3862,"[0.43745328150391627, 0.7719560878862405]",19,36
4827,"[0.43685528479653485, 0.4226546906356413]",25,49
5065,"[0.3329720436504245, 0.5319361277990754]",27,54
1927,"[0.7343773359233934, 0.5753493014987973]",7,13
4237,"[0.31185528479819463, 0.6197604791312998]",30,59
785,"[0.507194647920538, 0.8068862275900266]",20,39
5229,"[0.2486731947905595, 0.4845309382264057]",19,37
312,"[0.6832299297381177, 0.6531936128650024]",20,39
2722,"[0.5013268051994818, 0.6272455089817175]",30,59
3684,"[0.47408058005675785, 0.8997005988698045]",6,11
5673,"[0.2849080580091613, 0.3627744510522633]",31,62
2193,"[0.4553371206485664, 0.7719560878862405]",31,62
5511,"[0.5446628793514335, 0.23852295418799402]",2,2
5292,"[0.21355957541821516, 0.6357285429067407]",31,62
2253,"[0.6252242487636083, 0.8517964071889196]",3,4
4223,"[0.40669382568540907, 0.6112774450644517]",20,39
4184,"[0.41121617581485703, 0.6526946107567873]",26,52
2521,"[0.35094931977562366, 0.4885229540993535]",2,2
2355,"[0.5936799222633434, 0.7275449102537379]",14,26
4354,"[0.4660263118527613, 0.4446107785041537]",14,27
1547,"[0.6528815966526157, 0.7235528942389652]",29,57
256,"[0.5597436089069965, 0.594810379251708]",31,62
4227,"[0.3765510539730488, 0.614770459112834]",22,44
942,"[0.7924017042833901, 0.526946107851522]",24,46
2640,"[0.5690312453365649, 0.7265469061791322]",32,63
2263,"[0.56957317984765, 0.8552894211663895]",11,21
260,"[0.8666467334439725, 0.6412175648206845]",8,15
2451,"[0.2670429062632766, 0.7789421157702677]",20,39
1199,"[0.5902601285681093, 0.788922155736287]",17,33
3179,"[0.3236096576390724, 0.6871257485650955]",32,62
3758,"[0.24693526685143335, 0.8787425149340728]",32,63
5201,"[0.2323777844214683, 0.6172654690866107]",30,59
3148,"[0.513006428458576, 0.6731536925843036]",8,14
859,"[0.39209896845791314, 0.6956087824901187]",32,62
5562,"[0.5145948572208568, 0.2005988024022159]",11,22
3811,"[0.4555239946096645, 0.5918163672406285]",10,20
1061,"[0.6257288084904407, 0.545409181671652]",6,10
34,"[0.7205673493776551, 0.6571856288088627]",28,54
1744,"[0.7722380026885287, 0.7020958083368432]",2,2
3122,"[0.4544961877705124, 0.8203592815335157]",29,57
4158,"[0.6160113619291016, 0.6217564870677738]",2,2
4546,"[0.28672073553007105, 0.3762475049957524]",31,62
417,"[0.5583607415178574, 0.6551896208014764]",31,62
73,"[0.6102556435873598, 0.625748503011634]",27,54
1423,"[0.6372028703763931, 0.6656686627338859]",31,61
643,"[0.7417775452237122, 0.7185628742204994]",11,21
4832,"[0.41073030348679007, 0.43413173650083164]",28,55
4524,"[0.44989908805928086, 0.385229540887166]",11,21
2224,"[0.523695619676049, 0.8353293413761759]",22,42
1621,"[0.8220772910664489, 0.6676646706703598]",14,27
556,"[0.6351285692860454, 0.6322355289292708]",26,51
315,"[0.6519098519964818, 0.6561876247342571]",24,48
1829,"[0.7942891314126397, 0.6776447105654666]",2,2
4974,"[0.5577253700129451, 0.4925149700432137]",11,22
2257,"[0.6025751233321157, 0.8537924152672184]",6,11
3379,"[0.5406824637463489, 0.7125748503401652]",6,11
2038,"[0.5265547914481545, 0.821357285395384]",31,62
2404,"[0.4502541485959897, 0.765469061897691]",15,29
1954,"[0.5218455673443303, 0.6566866268424724]",32,62
5287,"[0.23626476304600397, 0.6277445110899327]",29,57
2348,"[0.6416878457083103, 0.7160678643176351]",7,13
3833,"[0.3042308267259687, 0.6262475049780243]",30,59
1397,"[0.8298512483155202, 0.6691616766404433]",9,17
1145,"[0.6452571385803897, 0.568363273472945]",2,3
546,"[0.6803333831684814, 0.6427145709325929]",19,36
4508,"[0.2812079533590019, 0.341816367329269]",32,63
2743,"[0.6059388548310536, 0.8123752495039703]",12,23
3728,"[0.47888324114113107, 0.850798403114314]",6,11
5754,"[0.29912916728790473, 0.3448103793403485]",30,59
2156,"[0.7205673493776551, 0.744011976137394]",3,2
162,"[0.7575683958659709, 0.6092814371988903]",9,17
5299,"[0.44324637464318883, 0.565369261532778]",4,6
4394,"[0.5494094782395105, 0.3507984032206826]",9,17
